GKZ	Gebiet	Wahlberechtigte	StimmenAbgegeben	StimmenGueltig	StimmenUngueltig	SPÖ	ÖVP	FPÖ	BZÖ	GRÜNE	FRANK	NEOS	KPÖ	PIRAT	CPÖ	WANDL	M	EUAUS	SLP
00000	Österreich	6384308	4782410	4692907	89503	1258605	1125876	962313	165746	582657	268679	232946	48175	36265	6647	3051	490	510	947
10000	Burgenland	232505	192486	188384	4102	70222	50426	32705	3689	12718	11050	5327	930	871	446	0	0	0	0
10099	Wahlkarten - B, ungültig nicht zuordenbar	0	17	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10100	Eisenstadt (Stadt)	10407	8200	8037	163	1868	2744	1157	165	1025	446	489	53	62	28	0	0	0	0
10101	Eisenstadt	10407	7378	7229	149	1699	2421	1084	155	888	419	434	47	54	28	0	0	0	0
10199	Wahlkarten - Eisenstadt (Stadt)	0	822	808	14	169	323	73	10	137	27	55	6	8	0	0	0	0	0
10200	Rust (Stadt)	1554	1275	1251	24	486	282	259	20	78	80	35	6	3	2	0	0	0	0
10201	Rust	1554	1167	1146	21	454	254	237	17	69	73	34	3	3	2	0	0	0	0
10299	Wahlkarten - Rust (Stadt)	0	108	105	3	32	28	22	3	9	7	1	3	0	0	0	0	0	0
10300	Eisenstadt-Umgebung	33380	28128	27519	609	10576	6882	4554	607	2067	1631	853	149	144	56	0	0	0	0
10301	Breitenbrunn am Neusiedler See	1586	1187	1164	23	455	254	171	35	113	64	50	9	9	4	0	0	0	0
10302	Donnerskirchen	1458	1108	1089	19	332	384	172	23	75	63	30	3	5	2	0	0	0	0
10303	Großhöflein	1655	1229	1202	27	379	347	192	42	95	94	46	4	3	0	0	0	0	0
10304	Hornstein	2217	1576	1538	38	616	291	278	47	123	104	60	9	8	2	0	0	0	0
10305	Klingenbach	909	704	695	9	354	164	92	11	20	38	9	4	1	2	0	0	0	0
10306	Leithaprodersdorf	974	808	785	23	180	368	106	9	53	36	25	6	0	2	0	0	0	0
10307	Mörbisch am See	1869	1432	1406	26	550	302	302	22	79	87	41	9	8	6	0	0	0	0
10308	Müllendorf	1089	851	824	27	323	171	143	25	70	46	29	5	5	7	0	0	0	0
10309	Neufeld an der Leitha	2449	1813	1771	42	757	205	398	60	142	121	61	12	15	0	0	0	0	0
10310	Oggau am Neusiedler See	1515	1280	1238	42	501	369	208	15	51	53	30	5	2	4	0	0	0	0
10311	Oslip	1039	862	846	16	365	257	83	6	62	41	20	8	1	3	0	0	0	0
10312	Purbach am Neusiedler See	2302	1759	1726	33	537	516	326	39	136	94	62	6	9	1	0	0	0	0
10313	Sankt Margarethen im Burgenland	2307	1790	1748	42	523	597	317	42	119	90	43	7	10	0	0	0	0	0
10314	Schützen am Gebirge	1129	903	881	22	256	313	148	17	56	60	20	6	3	2	0	0	0	0
10315	Siegendorf	2236	1735	1692	43	910	203	248	26	124	116	46	4	12	3	0	0	0	0
10316	Steinbrunn	1931	1483	1456	27	644	252	243	31	99	98	67	11	11	0	0	0	0	0
10317	Trausdorf an der Wulka	1576	1244	1221	23	520	268	179	31	95	69	38	9	8	4	0	0	0	0
10318	Wimpassing an der Leitha	1070	815	806	9	225	188	229	18	54	63	24	2	3	0	0	0	0	0
10319	Wulkaprodersdorf	1496	1171	1138	33	454	302	129	26	117	60	27	9	12	2	0	0	0	0
10320	Loretto	384	283	275	8	84	87	58	5	19	18	4	0	0	0	0	0	0	0
10321	Stotzing	650	452	440	12	162	141	72	14	16	20	10	2	2	1	0	0	0	0
10322	Zillingtal	745	553	540	13	196	126	80	11	59	35	26	5	2	0	0	0	0	0
10323	Zagersdorf	794	619	604	15	259	171	72	13	42	32	8	3	2	2	0	0	0	0
10399	Wahlkarten - Eisenstadt-Umgebung	0	2471	2434	37	994	606	308	39	248	129	77	11	13	9	0	0	0	0
10400	Güssing	21803	18132	17786	346	6423	5598	2676	320	952	1281	375	71	53	37	0	0	0	0
10401	Bocksdorf	676	537	524	13	218	120	92	11	17	55	9	1	1	0	0	0	0	0
10402	Burgauberg-Neudauberg	1113	848	825	23	258	267	136	15	39	76	20	8	6	0	0	0	0	0
10403	Eberau	779	613	608	5	153	307	75	7	20	30	14	0	1	1	0	0	0	0
10404	Gerersdorf-Sulz	858	662	652	10	223	252	65	15	47	35	10	2	3	0	0	0	0	0
10405	Güssing	3011	2107	2069	38	724	657	311	41	143	131	43	9	5	5	0	0	0	0
10406	Güttenbach	761	572	557	15	187	216	60	13	34	32	10	3	1	1	0	0	0	0
10407	Heiligenbrunn	712	547	536	11	140	247	88	5	22	23	9	1	1	0	0	0	0	0
10408	Kukmirn	1688	1232	1202	30	375	342	195	40	62	143	34	6	4	1	0	0	0	0
10409	Neuberg im Burgenland	842	653	644	9	278	162	106	14	24	48	7	4	0	1	0	0	0	0
10410	Neustift bei Güssing	448	339	331	8	168	36	74	1	16	30	4	2	0	0	0	0	0	0
10411	Olbendorf	1241	916	903	13	496	104	155	16	32	74	16	1	0	9	0	0	0	0
10412	Ollersdorf im Burgenland	842	714	703	11	274	212	99	1	36	57	20	2	2	0	0	0	0	0
10413	Sankt Michael im Burgenland	853	662	646	16	202	200	108	15	37	59	19	4	2	0	0	0	0	0
10414	Stegersbach	2048	1427	1392	35	556	301	222	31	82	137	44	6	4	9	0	0	0	0
10415	Stinatz	1003	735	719	16	377	171	59	9	46	33	11	7	4	2	0	0	0	0
10416	Strem	796	576	561	15	119	260	112	8	21	33	5	1	0	2	0	0	0	0
10417	Tobaj	1123	847	836	11	210	332	164	15	26	62	20	2	4	1	0	0	0	0
10418	Hackerberg	303	251	244	7	91	96	32	3	5	9	6	0	2	0	0	0	0	0
10419	Wörterberg	409	305	299	6	105	82	57	7	19	19	6	1	3	0	0	0	0	0
10420	Großmürbisch	217	167	167	0	70	71	7	1	8	6	1	1	0	2	0	0	0	0
10421	Inzenhof	287	238	236	2	164	30	25	3	3	8	2	1	0	0	0	0	0	0
10422	Kleinmürbisch	211	166	164	2	75	54	23	2	1	8	0	0	1	0	0	0	0	0
10423	Tschanigraben	52	35	35	0	27	5	1	0	0	1	1	0	0	0	0	0	0	0
10424	Heugraben	185	164	161	3	52	59	29	4	1	13	3	0	0	0	0	0	0	0
10425	Rohr im Burgenland	333	263	256	7	109	58	55	2	11	17	2	2	0	0	0	0	0	0
10426	Bildein	289	229	226	3	22	151	28	1	12	9	2	0	0	1	0	0	0	0
10427	Rauchwart	381	314	308	6	123	71	73	11	4	20	6	0	0	0	0	0	0	0
10428	Moschendorf	342	287	276	11	62	148	34	5	10	14	3	0	0	0	0	0	0	0
10499	Wahlkarten - Güssing	0	1726	1706	20	565	587	191	24	174	99	48	7	9	2	0	0	0	0
10500	Jennersdorf	14705	11884	11614	270	3641	3094	2407	271	816	973	259	60	58	35	0	0	0	0
10501	Deutsch Kaltenbrunn	1510	1109	1078	31	420	194	207	30	65	121	32	5	3	1	0	0	0	0
10502	Eltendorf	811	605	592	13	190	163	134	18	37	38	6	1	4	1	0	0	0	0
10503	Heiligenkreuz im Lafnitztal	1046	751	738	13	281	180	127	13	33	90	9	2	1	2	0	0	0	0
10504	Jennersdorf	3524	2476	2418	58	549	706	623	60	187	192	62	10	21	8	0	0	0	0
10505	Minihof-Liebau	929	701	680	21	243	133	175	12	29	64	14	2	3	5	0	0	0	0
10506	Mogersdorf	948	725	705	20	302	160	137	9	51	34	8	3	1	0	0	0	0	0
10507	Neuhaus am Klausenbach	822	609	597	12	136	209	135	18	26	48	15	2	3	5	0	0	0	0
10508	Rudersdorf	1819	1355	1329	26	432	357	232	32	98	121	42	3	8	4	0	0	0	0
10509	Sankt Martin an der Raab	1704	1341	1313	28	434	344	254	40	98	99	21	11	7	5	0	0	0	0
10510	Weichselbaum	632	489	469	20	135	168	89	4	24	40	4	2	2	1	0	0	0	0
10511	Königsdorf	612	464	459	5	137	135	103	6	21	50	3	2	1	1	0	0	0	0
10512	Mühlgraben	348	278	271	7	126	37	66	6	12	17	6	1	0	0	0	0	0	0
10599	Wahlkarten - Jennersdorf	0	981	965	16	256	308	125	23	135	59	37	16	4	2	0	0	0	0
10600	Mattersburg	31166	25581	25039	542	10181	5417	4491	553	1857	1427	792	134	130	57	0	0	0	0
10601	Draßburg	919	693	678	15	419	77	88	12	40	25	9	3	4	1	0	0	0	0
10602	Forchtenstein	2256	1785	1754	31	662	433	368	39	88	98	43	6	8	9	0	0	0	0
10603	Hirm	741	593	578	15	340	65	83	9	42	21	10	5	3	0	0	0	0	0
10604	Loipersbach im Burgenland	985	761	746	15	355	117	166	14	41	27	13	6	6	1	0	0	0	0
10605	Marz	1625	1259	1228	31	456	316	237	23	99	65	25	5	0	2	0	0	0	0
10606	Mattersburg	5517	3955	3867	88	1435	785	730	91	347	260	157	28	28	6	0	0	0	0
10607	Neudörfl	3278	2400	2360	40	1018	326	521	81	143	130	107	11	11	12	0	0	0	0
10608	Pöttelsdorf	593	450	439	11	150	131	61	9	42	30	13	2	0	1	0	0	0	0
10609	Pöttsching	2322	1766	1742	24	672	313	294	32	151	166	81	13	17	3	0	0	0	0
10610	Rohrbach bei Mattersburg	2164	1664	1601	63	757	355	268	25	86	69	28	4	8	1	0	0	0	0
10611	Bad Sauerbrunn	1675	1198	1172	26	353	206	249	49	168	62	69	8	5	3	0	0	0	0
10612	Schattendorf	1991	1552	1518	34	928	206	194	12	87	58	24	2	6	1	0	0	0	0
10613	Sieggraben	1048	853	834	19	306	290	145	16	16	45	13	1	1	1	0	0	0	0
10614	Sigleß	953	771	752	19	340	127	125	23	57	47	24	4	4	1	0	0	0	0
10615	Wiesen	2287	1784	1747	37	417	517	444	49	108	128	60	8	8	8	0	0	0	0
10616	Antau	607	521	510	11	156	171	110	11	27	21	8	1	4	1	0	0	0	0
10617	Baumgarten	718	545	540	5	296	104	54	9	42	15	17	1	0	2	0	0	0	0
10618	Zemendorf-Stöttera	1002	799	782	17	300	299	73	10	31	39	22	2	6	0	0	0	0	0
10619	Krensdorf	485	391	388	3	136	124	73	8	19	15	9	2	1	1	0	0	0	0
10699	Wahlkarten - Mattersburg	0	1841	1803	38	685	455	208	31	223	106	60	22	10	3	0	0	0	0
10700	Neusiedl am See	44660	36612	35781	831	13015	9546	6924	643	2348	1695	1131	206	187	86	0	0	0	0
10701	Andau	2004	1643	1607	36	806	385	290	22	28	48	19	1	5	3	0	0	0	0
10702	Apetlon	1567	1234	1201	33	434	396	228	20	41	46	17	2	4	13	0	0	0	0
10703	Bruckneudorf	2264	1604	1565	39	558	141	443	44	187	91	79	15	7	0	0	0	0	0
10704	Deutsch Jahrndorf	469	364	357	7	122	97	98	4	13	14	6	2	1	0	0	0	0	0
10705	Frauenkirchen	2380	1828	1775	53	805	365	312	34	93	85	55	9	9	8	0	0	0	0
10706	Gattendorf	921	727	708	19	271	172	162	12	26	40	19	4	2	0	0	0	0	0
10707	Gols	3020	2338	2268	70	856	468	460	58	164	154	72	15	19	2	0	0	0	0
10708	Halbturn	1596	1268	1237	31	370	529	185	12	66	45	18	5	5	2	0	0	0	0
10709	Illmitz	2065	1668	1629	39	623	503	302	27	66	52	47	1	5	3	0	0	0	0
10710	Jois	1141	881	869	12	300	242	171	16	40	55	33	7	4	1	0	0	0	0
10711	Kittsee	1533	1144	1114	30	429	293	244	25	39	49	27	5	3	0	0	0	0	0
10712	Mönchhof	1885	1371	1341	30	392	489	263	12	72	63	30	7	9	4	0	0	0	0
10713	Neusiedl am See	5622	3990	3905	85	1051	1082	683	83	502	223	213	29	31	8	0	0	0	0
10714	Nickelsdorf	1284	1003	984	19	358	204	222	10	83	51	34	18	3	1	0	0	0	0
10715	Pama	854	689	679	10	278	257	97	8	16	11	7	2	2	1	0	0	0	0
10716	Pamhagen	1416	1069	1042	27	365	408	163	19	22	34	19	2	5	5	0	0	0	0
10717	Parndorf	3070	2042	1998	44	857	208	552	41	134	106	67	11	18	4	0	0	0	0
10718	Podersdorf am See	1718	1339	1292	47	315	499	205	34	69	94	54	9	8	5	0	0	0	0
10719	Sankt Andrä am Zicksee	1151	902	885	17	304	328	127	17	32	37	22	2	1	15	0	0	0	0
10720	Tadten	1068	875	864	11	351	319	108	4	26	29	22	1	4	0	0	0	0	0
10721	Wallern im Burgenland	1517	1200	1176	24	512	308	234	12	43	37	12	9	3	6	0	0	0	0
10722	Weiden am See	1868	1409	1381	28	395	370	297	34	139	75	59	8	4	0	0	0	0	0
10723	Winden am See	1069	814	788	26	391	128	134	15	42	41	19	6	11	1	0	0	0	0
10724	Zurndorf	1658	1285	1249	36	534	183	327	13	75	62	41	8	5	1	0	0	0	0
10725	Neudorf	586	473	461	12	160	175	70	10	16	20	5	5	0	0	0	0	0	0
10726	Potzneusiedl	437	337	336	1	125	68	102	4	12	14	9	1	1	0	0	0	0	0
10727	Edelstal	497	386	377	9	129	151	60	4	10	9	12	0	2	0	0	0	0	0
10799	Wahlkarten - Neusiedel am See	0	2729	2693	36	924	778	385	49	292	110	114	22	16	3	0	0	0	0
10800	Oberpullendorf	31252	26820	26217	603	10588	7977	3706	383	1373	1384	523	98	117	68	0	0	0	0
10801	Deutschkreutz	2630	1998	1965	33	747	626	310	32	80	126	29	6	8	1	0	0	0	0
10802	Draßmarkt	1162	965	944	21	327	372	107	13	65	34	18	5	3	0	0	0	0	0
10803	Frankenau-Unterpullendorf	997	744	733	11	250	301	63	14	43	45	14	1	1	1	0	0	0	0
10804	Großwarasdorf	1215	943	922	21	344	390	79	13	45	33	10	4	4	0	0	0	0	0
10805	Horitschon	1535	1255	1229	26	484	368	188	13	69	69	18	3	1	16	0	0	0	0
10806	Kaisersdorf	505	385	379	6	206	71	52	8	18	15	6	1	2	0	0	0	0	0
10807	Kobersdorf	1584	1295	1261	34	609	263	210	11	71	71	18	4	4	0	0	0	0	0
10808	Lackenbach	925	673	651	22	295	143	119	18	24	34	12	4	2	0	0	0	0	0
10809	Lockenhaus	1663	1231	1197	34	438	337	213	26	69	62	44	5	2	1	0	0	0	0
10810	Lutzmannsburg	728	575	560	15	199	176	110	11	22	33	4	1	2	2	0	0	0	0
10811	Mannersdorf an der Rabnitz	1536	1205	1171	34	501	297	230	12	56	47	15	6	7	0	0	0	0	0
10812	Markt Sankt Martin	973	807	783	24	303	231	103	12	52	57	9	2	10	4	0	0	0	0
10813	Neckenmarkt	1406	1166	1142	24	413	427	133	16	41	69	25	0	8	10	0	0	0	0
10814	Neutal	886	764	740	24	463	118	73	12	21	39	10	1	3	0	0	0	0	0
10815	Nikitsch	1244	921	901	20	357	358	61	8	37	48	24	4	2	2	0	0	0	0
10816	Oberpullendorf	2431	1680	1634	46	488	491	279	31	138	116	65	11	11	4	0	0	0	0
10817	Pilgersdorf	1398	1125	1104	21	312	507	133	11	42	67	18	3	7	4	0	0	0	0
10818	Piringsdorf	734	584	570	14	224	175	83	13	27	23	19	0	5	1	0	0	0	0
10819	Raiding	699	542	530	12	265	149	66	5	7	27	4	1	2	4	0	0	0	0
10820	Ritzing	744	612	601	11	289	127	88	9	42	26	9	5	5	1	0	0	0	0
10821	Steinberg-Dörfl	1083	853	834	19	283	254	121	26	47	60	32	6	4	1	0	0	0	0
10822	Stoob	1159	928	906	22	411	200	142	13	48	54	30	3	3	2	0	0	0	0
10823	Weppersdorf	1477	1184	1158	26	631	177	211	10	45	53	22	4	3	2	0	0	0	0
10824	Lackendorf	502	394	390	4	190	103	66	2	14	12	1	0	1	1	0	0	0	0
10825	Unterfrauenhaid	524	442	438	4	175	148	69	6	10	26	4	0	0	0	0	0	0	0
10826	Unterrabnitz-Schwendgraben	528	451	444	7	158	187	51	5	16	17	6	4	0	0	0	0	0	0
10827	Weingraben	310	264	259	5	130	77	25	5	6	7	5	1	0	3	0	0	0	0
10828	Oberloisdorf	674	542	528	14	222	174	71	6	24	20	7	2	2	0	0	0	0	0
10899	Wahlkarten - Oberpullendorf	0	2292	2243	49	874	730	250	22	194	94	45	11	15	8	0	0	0	0
10900	Oberwart	43578	35232	34544	688	13309	8767	6450	700	2085	2098	803	146	111	75	0	0	0	0
10901	Bad Tatzmannsdorf	1146	865	855	10	243	251	155	21	64	70	43	2	4	2	0	0	0	0
10902	Bernstein	1847	1376	1356	20	649	310	233	24	48	54	30	3	2	3	0	0	0	0
10903	Deutsch Schützen-Eisenberg	986	771	766	5	155	344	150	20	25	48	17	4	0	3	0	0	0	0
10904	Grafenschachen	1066	819	782	37	381	176	137	17	25	34	10	1	1	0	0	0	0	0
10905	Großpetersdorf	2896	2084	2045	39	869	497	330	49	117	121	35	12	5	10	0	0	0	0
10906	Hannersdorf	659	513	508	5	212	154	71	6	22	30	12	1	0	0	0	0	0	0
10907	Kemeten	1255	904	885	19	379	104	236	24	47	74	13	2	6	0	0	0	0	0
10908	Kohfidisch	1213	952	931	21	348	298	174	5	30	53	14	5	2	2	0	0	0	0
10909	Litzelsdorf	946	722	707	15	244	161	175	5	53	49	12	4	3	1	0	0	0	0
10910	Loipersdorf-Kitzladen	1018	841	819	22	353	210	173	13	25	28	12	1	3	1	0	0	0	0
10911	Mariasdorf	998	754	737	17	298	159	184	20	35	25	10	5	0	1	0	0	0	0
10912	Markt Allhau	1502	1149	1129	20	334	289	241	38	102	82	33	4	5	1	0	0	0	0
10913	Markt Neuhodis	566	433	421	12	188	115	67	12	10	21	3	2	3	0	0	0	0	0
10914	Mischendorf	1422	1115	1096	19	470	372	150	14	31	44	9	3	3	0	0	0	0	0
10915	Oberdorf im Burgenland	857	682	660	22	294	143	118	13	28	43	13	3	0	5	0	0	0	0
10916	Oberschützen	1887	1413	1380	33	371	407	278	54	124	91	48	5	0	2	0	0	0	0
10917	Oberwart	5611	3746	3675	71	1278	796	765	80	282	310	123	16	12	13	0	0	0	0
10918	Pinkafeld	4413	3045	2985	60	1127	651	621	59	221	166	89	18	18	15	0	0	0	0
10919	Rechnitz	2520	1771	1735	36	723	344	391	47	66	117	28	10	6	3	0	0	0	0
10920	Riedlingsdorf	1321	961	936	25	480	124	189	13	53	50	16	2	9	0	0	0	0	0
10921	Rotenturm an der Pinka	1142	936	918	18	476	178	134	11	38	58	20	2	1	0	0	0	0	0
10922	Schachendorf	585	455	447	8	136	176	52	3	24	31	18	4	0	3	0	0	0	0
10923	Stadtschlaining	1705	1209	1188	21	500	262	258	16	57	71	11	5	7	1	0	0	0	0
10924	Unterkohlstätten	854	727	719	8	324	230	87	11	22	29	11	4	0	1	0	0	0	0
10925	Unterwart	689	501	490	11	185	161	67	8	20	38	6	2	1	2	0	0	0	0
10926	Weiden bei Rechnitz	692	542	537	5	175	201	82	3	31	34	5	4	2	0	0	0	0	0
10927	Wiesfleck	950	744	733	11	251	236	160	16	24	29	12	2	1	2	0	0	0	0
10928	Wolfau	1107	844	823	21	279	231	158	19	57	48	25	1	4	1	0	0	0	0
10929	Neustift an der Lafnitz	617	506	498	8	227	79	99	16	19	37	19	0	2	0	0	0	0	0
10930	Jabing	621	489	477	12	192	114	95	9	22	32	10	2	1	0	0	0	0	0
10931	Badersdorf	251	203	201	2	66	93	28	1	4	9	0	0	0	0	0	0	0	0
10932	Schandorf	236	190	187	3	86	64	16	2	3	11	5	0	0	0	0	0	0	0
10999	Wahlkarten - Oberwart	0	2970	2918	52	1016	837	376	51	356	161	91	17	10	3	0	0	0	0
1A000	Burgenland Nord	121167	100055	97883	2172	36185	24925	17418	1998	7422	5292	3332	552	529	230	0	0	0	0
1A099	Wahlkarten - Burgenland Nord	0	259	256	3	59	54	33	10	47	13	32	4	3	1	0	0	0	0
1B000	Burgenland Süd	111338	92414	90501	1913	34037	25501	15287	1691	5296	5758	1995	378	342	216	0	0	0	0
1B099	Wahlkarten - Burgenland Süd	0	346	340	6	76	65	48	17	70	22	35	3	3	1	0	0	0	0
20000	Kärnten	444586	322284	316006	6278	102278	48140	56513	34129	37304	21882	11711	1975	2074	0	0	0	0	0
20099	Wahlkarten - K, ungültig nicht zuordenbar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20100	Klagenfurt (Stadt)	73937	50725	49948	777	14858	6755	7608	5098	9309	3000	2448	450	422	0	0	0	0	0
20101	Klagenfurt am Wörthersee	73937	45317	44599	718	13386	5823	7111	4754	7841	2743	2163	404	374	0	0	0	0	0
20199	Wahlkarten - Klagenfurt (Stadt)	0	5408	5349	59	1472	932	497	344	1468	257	285	46	48	0	0	0	0	0
20200	Villach (Stadt)	45015	31291	30768	523	10932	3340	5349	2818	4289	2270	1296	213	261	0	0	0	0	0
20201	Villach	45015	28306	27812	494	9869	2933	5028	2634	3643	2119	1150	198	238	0	0	0	0	0
20299	Wahlkarten - Villach (Stadt)	0	2985	2956	29	1063	407	321	184	646	151	146	15	23	0	0	0	0	0
20300	Hermagor	15190	11827	11538	289	3535	3350	1687	973	976	645	285	36	51	0	0	0	0	0
20302	Dellach	1031	701	679	22	180	250	87	58	47	37	15	1	4	0	0	0	0	0
20305	Hermagor-Pressegger See	5664	3827	3734	93	1245	884	576	333	321	247	100	15	13	0	0	0	0	0
20306	Kirchbach	2196	1522	1485	37	354	464	274	147	112	86	29	8	11	0	0	0	0	0
20307	Kötschach-Mauthen	2780	1871	1826	45	557	565	212	183	152	93	57	2	5	0	0	0	0	0
20316	St. Stefan im Gailtal	1341	978	955	23	391	205	148	60	67	56	24	1	3	0	0	0	0	0
20320	Gitschtal	1014	733	710	23	203	163	176	74	48	32	7	3	4	0	0	0	0	0
20321	Lesachtal	1164	781	757	24	155	439	51	41	33	27	9	0	2	0	0	0	0	0
20399	Wahlkarten - Hermagor	0	1414	1392	22	450	380	163	77	196	67	44	6	9	0	0	0	0	0
20400	Klagenfurt Land	47104	35416	34725	691	11159	5568	5367	3973	4603	2287	1293	243	232	0	0	0	0	0
20402	Ebenthal in Kärnten	6288	4142	4045	97	1594	393	709	431	446	280	120	35	37	0	0	0	0	0
20403	Feistritz im Rosental	2009	1360	1326	34	562	201	152	113	156	95	29	9	9	0	0	0	0	0
20405	Ferlach	5818	3940	3852	88	1513	399	623	453	418	266	115	41	24	0	0	0	0	0
20409	Grafenstein	2285	1540	1494	46	393	359	263	247	113	87	21	3	8	0	0	0	0	0
20412	Keutschach am See	1971	1283	1267	16	382	207	188	152	190	77	55	10	6	0	0	0	0	0
20414	Köttmannsdorf	2308	1701	1666	35	520	309	292	161	214	97	53	9	11	0	0	0	0	0
20415	Krumpendorf am Wörthersee	2646	1730	1702	28	371	329	206	196	346	117	117	13	7	0	0	0	0	0
20416	Ludmannsdorf	1496	1011	1001	10	371	147	158	96	131	54	28	9	7	0	0	0	0	0
20417	Maria Rain	1883	1278	1249	29	333	191	230	162	186	66	59	11	11	0	0	0	0	0
20418	Maria Saal	3188	2173	2136	37	598	368	332	263	338	135	87	7	8	0	0	0	0	0
20419	Maria Wörth	1212	749	735	14	161	150	97	79	120	67	49	4	8	0	0	0	0	0
20421	Moosburg	3623	2379	2329	50	664	451	380	253	316	146	80	18	21	0	0	0	0	0
20424	Pörtschach am Wörther See	2129	1338	1320	18	260	323	186	157	189	99	89	8	9	0	0	0	0	0
20425	Poggersdorf	2485	1759	1719	40	565	245	312	251	153	133	45	10	5	0	0	0	0	0
20428	St. Margareten im Rosental	890	613	602	11	220	127	38	131	40	24	16	3	3	0	0	0	0	0
20432	Schiefling am Wörthersee	1974	1294	1268	26	384	190	247	152	140	90	53	4	8	0	0	0	0	0
20435	Techelsberg am Wörther See	1747	1168	1143	25	364	190	226	122	99	98	32	7	5	0	0	0	0	0
20441	Zell	517	372	365	7	177	47	20	8	80	12	14	6	1	0	0	0	0	0
20442	Magdalensberg	2635	1827	1790	37	620	282	293	224	187	97	63	8	16	0	0	0	0	0
20499	Wahlkarten - Klagenfurt Land	0	3759	3716	43	1107	660	415	322	741	247	168	28	28	0	0	0	0	0
20500	Sankt Veit an der Glan	45827	33276	32472	804	10266	5306	6165	5079	2678	1802	825	187	164	0	0	0	0	0
20501	Althofen	3824	2489	2446	43	906	329	445	329	178	154	73	18	14	0	0	0	0	0
20502	Brückl	2374	1633	1600	33	598	195	322	203	117	95	49	7	14	0	0	0	0	0
20503	Deutsch-Griffen	789	469	453	16	111	94	136	60	16	28	5	1	2	0	0	0	0	0
20504	Eberstein	1129	791	773	18	189	146	166	158	34	55	16	4	5	0	0	0	0	0
20505	Friesach	4319	2592	2554	38	672	304	417	806	157	133	42	7	16	0	0	0	0	0
20506	Glödnitz	717	411	407	4	119	113	83	53	9	14	8	4	4	0	0	0	0	0
20508	Gurk	1047	812	798	14	212	174	192	123	45	37	8	1	6	0	0	0	0	0
20509	Guttaring	1223	841	830	11	248	152	169	111	68	51	26	3	2	0	0	0	0	0
20511	Hüttenberg	1329	868	849	19	351	96	222	115	27	18	5	9	6	0	0	0	0	0
20512	Kappel am Krappfeld	1588	1168	1143	25	320	360	169	134	69	61	22	5	3	0	0	0	0	0
20513	Klein St. Paul	1591	1079	1060	19	297	220	226	178	54	55	19	5	6	0	0	0	0	0
20515	Liebenfels	2637	1701	1674	27	572	249	286	225	162	106	52	12	10	0	0	0	0	0
20518	Metnitz	1757	1233	1201	32	266	333	257	197	57	52	24	12	3	0	0	0	0	0
20519	Micheldorf	893	596	586	10	231	69	86	119	33	29	11	6	2	0	0	0	0	0
20520	Mölbling	1101	755	740	15	174	83	205	163	59	33	13	4	6	0	0	0	0	0
20523	St. Georgen am Längsee	2974	2014	1969	45	653	253	355	291	203	129	64	13	8	0	0	0	0	0
20527	St. Veit an der Glan	10066	6108	5997	111	2273	658	1020	815	628	352	188	39	24	0	0	0	0	0
20530	Straßburg	1752	1158	1131	27	241	267	312	188	52	40	21	4	6	0	0	0	0	0
20531	Weitensfeld im Gurktal	1776	1190	1175	15	290	313	297	135	45	70	18	3	4	0	0	0	0	0
20534	Frauenstein	2941	1963	1933	30	534	282	376	289	252	101	76	13	10	0	0	0	0	0
20599	Wahlkarten - Sankt Veit an der Glan	0	3405	3153	252	1009	616	424	387	413	189	85	17	13	0	0	0	0	0
20600	Spittal an der Drau	62886	45990	45162	828	13062	7770	8789	4705	4410	3762	2217	197	250	0	0	0	0	0
20601	Bad Kleinkirchheim	1359	898	885	13	184	144	194	119	90	98	50	0	6	0	0	0	0	0
20602	Baldramsdorf	1543	1034	1013	21	380	122	224	104	53	78	46	4	2	0	0	0	0	0
20603	Berg im Drautal	1102	755	737	18	192	229	88	58	74	62	29	3	2	0	0	0	0	0
20604	Dellach im Drautal	1392	911	881	30	286	179	123	83	107	62	30	4	7	0	0	0	0	0
20605	Großkirchheim	1132	777	765	12	106	204	225	80	64	60	23	2	1	0	0	0	0	0
20607	Flattach	980	628	617	11	162	64	126	106	38	102	13	0	6	0	0	0	0	0
20608	Gmünd in Kärnten	2142	1435	1413	22	419	215	324	173	139	71	58	6	8	0	0	0	0	0
20609	Greifenburg	1428	957	942	15	218	235	212	88	79	68	34	6	2	0	0	0	0	0
20610	Heiligenblut am Großglockner	885	556	542	14	118	171	87	51	53	43	15	2	2	0	0	0	0	0
20611	Irschen	1625	1110	1088	22	383	244	177	65	113	71	18	7	10	0	0	0	0	0
20613	Kleblach-Lind	1007	719	704	15	247	170	113	49	64	40	14	4	3	0	0	0	0	0
20616	Lendorf	1432	1006	998	8	307	206	200	83	70	75	47	4	6	0	0	0	0	0
20618	Mallnitz	680	493	487	6	273	75	47	49	25	13	4	1	0	0	0	0	0	0
20619	Malta	1684	1099	1079	20	337	145	283	122	88	60	43	1	0	0	0	0	0	0
20620	Millstatt am See	2743	1745	1719	26	361	342	290	207	257	131	113	8	10	0	0	0	0	0
20622	Mörtschach	678	443	428	15	66	111	100	73	28	37	7	3	3	0	0	0	0	0
20624	Mühldorf	795	535	524	11	183	61	161	35	29	26	20	4	5	0	0	0	0	0
