V_ID	V_Datum	V_Wochentag	V_Stunde	V_Station	V_Kartenart
10001	2019-01-01T00:03:44	1	0	1002	1
10002	2019-01-01T00:07:43	1	0	1001	3
10003	2019-01-01T00:08:44	1	0	1001	4
10004	2019-01-01T00:13:34	1	0	1002	1
10005	2019-01-01T00:17:11	1	0	1001	3
10006	2019-01-01T00:23:26	1	0	1001	2
10007	2019-01-01T00:24:02	1	0	1001	4
10008	2019-01-01T00:28:03	1	0	1001	3
10009	2019-01-01T00:30:43	1	0	1001	2
10010	2019-01-01T00:33:00	1	0	1001	4
10011	2019-01-01T00:41:40	1	0	1001	3
10012	2019-01-01T00:53:05	1	0	1001	2
10013	2019-01-01T00:58:39	1	0	1004	2
10014	2019-01-01T00:58:39	1	0	1004	2
10015	2019-01-01T01:00:52	1	1	1004	3
10016	2019-01-01T01:01:02	1	1	1001	3
10017	2019-01-01T01:01:30	1	1	1001	2
10018	2019-01-01T01:04:38	1	1	1002	3
10019	2019-01-01T01:05:05	1	1	1004	3
10020	2019-01-01T01:06:05	1	1	1001	2
10021	2019-01-01T01:17:47	1	1	1004	2
10022	2019-01-01T01:20:17	1	1	1002	2
10023	2019-01-01T01:25:57	1	1	1001	3
10024	2019-01-01T01:26:23	1	1	1002	4
10025	2019-01-01T01:31:43	1	1	1001	1
10026	2019-01-01T01:39:19	1	1	1004	1
10027	2019-01-01T01:40:47	1	1	1004	2
10028	2019-01-01T01:57:12	1	1	1001	1
10029	2019-01-01T02:02:04	1	2	1002	2
10030	2019-01-01T02:06:58	1	2	1004	4
10031	2019-01-01T02:15:55	1	2	1002	3
10032	2019-01-01T02:15:56	1	2	1001	2
10033	2019-01-01T02:17:28	1	2	1002	2
10034	2019-01-01T02:21:43	1	2	1001	3
10035	2019-01-01T02:23:18	1	2	1001	1
10036	2019-01-01T02:24:55	1	2	1001	3
10037	2019-01-01T02:25:04	1	2	1001	3
10038	2019-01-01T02:31:31	1	2	1002	2
10039	2019-01-01T02:36:42	1	2	1004	2
10040	2019-01-01T02:38:41	1	2	1001	1
10041	2019-01-01T02:38:42	1	2	1001	3
10042	2019-01-01T02:47:13	1	2	1002	3
10043	2019-01-01T02:48:15	1	2	1001	1
10044	2019-01-01T02:54:01	1	2	1001	1
10045	2019-01-01T02:55:28	1	2	1001	1
10046	2019-01-01T02:56:35	1	2	1001	2
10047	2019-01-01T02:56:57	1	2	1001	1
10048	2019-01-01T03:07:10	1	3	1001	1
10049	2019-01-01T03:10:18	1	3	1004	2
10050	2019-01-01T03:15:15	1	3	1001	4
10051	2019-01-01T03:19:29	1	3	1004	3
10052	2019-01-01T03:20:43	1	3	1002	1
10053	2019-01-01T03:29:45	1	3	1004	2
10054	2019-01-01T03:32:47	1	3	1001	2
10055	2019-01-01T03:34:01	1	3	1002	2
10056	2019-01-01T03:38:33	1	3	1001	3
10057	2019-01-01T03:43:55	1	3	1001	2
10058	2019-01-01T03:45:47	1	3	1001	2
10059	2019-01-01T03:46:18	1	3	1001	1
10060	2019-01-01T03:55:10	1	3	1004	2
10061	2019-01-01T04:02:00	1	4	1002	2
10062	2019-01-01T04:03:16	1	4	1001	3
10063	2019-01-01T04:13:09	1	4	1004	2
10064	2019-01-01T04:15:05	1	4	1001	2
10065	2019-01-01T04:22:22	1	4	1002	4
10066	2019-01-01T04:37:19	1	4	1002	4
10067	2019-01-01T04:39:07	1	4	1001	2
10068	2019-01-01T04:41:15	1	4	1001	2
10069	2019-01-01T04:50:18	1	4	1001	1
10070	2019-01-01T04:53:51	1	4	1001	3
10071	2019-01-01T04:58:09	1	4	1001	3
10072	2019-01-01T05:03:29	1	5	1001	2
10073	2019-01-01T05:04:36	1	5	1003	2
10074	2019-01-01T05:12:35	1	5	1002	2
10075	2019-01-01T05:13:31	1	5	1004	1
10076	2019-01-01T05:18:03	1	5	1001	2
10077	2019-01-01T05:21:37	1	5	1001	1
10078	2019-01-01T05:25:11	1	5	1001	2
10079	2019-01-01T05:27:33	1	5	1004	3
10080	2019-01-01T05:31:16	1	5	1001	1
10081	2019-01-01T05:40:46	1	5	1001	1
10082	2019-01-01T05:48:55	1	5	1001	2
10083	2019-01-01T05:50:25	1	5	1001	2
10084	2019-01-01T05:53:03	1	5	1002	3
10085	2019-01-01T05:54:06	1	5	1001	4
10086	2019-01-01T05:54:49	1	5	1002	1
10087	2019-01-01T06:02:01	1	6	1001	1
10088	2019-01-01T06:02:48	1	6	1001	2
10089	2019-01-01T06:07:41	1	6	1001	2
10090	2019-01-01T06:08:35	1	6	1001	2
10091	2019-01-01T06:13:15	1	6	1001	1
10092	2019-01-01T06:14:50	1	6	1004	4
10093	2019-01-01T06:17:04	1	6	1001	3
10094	2019-01-01T06:18:27	1	6	1004	1
10095	2019-01-01T06:18:38	1	6	1001	3
10096	2019-01-01T06:19:02	1	6	1001	4
10097	2019-01-01T06:20:07	1	6	1001	4
10098	2019-01-01T06:24:53	1	6	1002	2
10099	2019-01-01T06:27:13	1	6	1002	3
10100	2019-01-01T06:29:58	1	6	1002	3
10101	2019-01-01T06:30:19	1	6	1001	4
10102	2019-01-01T06:32:30	1	6	1001	1
10103	2019-01-01T06:36:00	1	6	1001	1
10104	2019-01-01T06:36:03	1	6	1001	3
10105	2019-01-01T06:36:42	1	6	1002	4
10106	2019-01-01T06:37:43	1	6	1001	2
10107	2019-01-01T06:39:57	1	6	1001	2
10108	2019-01-01T06:39:57	1	6	1004	2
10109	2019-01-01T06:40:22	1	6	1002	2
10110	2019-01-01T06:41:31	1	6	1001	2
10111	2019-01-01T06:42:18	1	6	1002	2
10112	2019-01-01T06:42:55	1	6	1001	1
