CustomerID	Date	Time	ChannelID	ProductID	DealerID	RecipientID	Explorer	Returned	Duration	Clicks	Pieces	Discount
000529780	20170204	115607	I	5	9996	000529780	Internet Explorer   	N	546	19	1	5
000558026	20170204	115535	I	1	9997	000558026	Internet Explorer   	N	337	31	1	5
000147872	20170204	225333	T	9	1016	000147872	Internet Explorer   	N	446	20	2	5
000780007	20170204	213321	I	9	9995	000780007	Netscape            	N	1687	96	1	5
000603397	20170204	011449	I	4	9996	000603397	Internet Explorer   	N	418	30	1	10
000626283	20170203	202825	I	2	9999	000626283	Internet Explorer   	N	1648	71	1	5
000517201	20170204	102835	I	4	9995	000517201	Internet Explorer   	N	478	22	1	10
000154960	20170204	104116	I	2	9997	000154960	Internet Explorer   	N	490	62	1	5
000208217	20170204	044857	I	1	9997	000208217	Internet Explorer   	N	539	49	2	10
000053378	20170204	150253	T	1	1007	000053378	Netscape            	N	362	16	2	10
000352563	20170204	145559	I	10	9995	000352563	Netscape            	N	301	44	1	5
000490503	20170203	231926	I	3	9997	000490503	Netscape            	N	458	46	1	5
000274478	20170204	222605	I	10	9999	000274478	Internet Explorer   	N	1215	73	2	0
000360795	20170204	215503	I	4	9998	000360795	Internet Explorer   	N	364	35	3	0
000042558	20170204	101820	I	7	9998	000607537	Internet Explorer   	N	340	15	2	10
000522017	20170204	094915	I	10	9998	000522017	Internet Explorer   	N	319	18	1	5
000547699	20170203	213325	I	6	9998	000547699	Netscape            	N	584	53	1	0
000740661	20170204	205901	T	7	1008	000740661	Internet Explorer   	N	347	46	1	10
000639542	20170204	122015	I	3	9996	000639542	Netscape            	N	1295	61	1	0
000639542	20170211	221124	I	3	9996	000639542	Netscape            	Y	1295	61	1	0
000736850	20170204	122527	I	4	9996	000456528	Internet Explorer   	N	383	30	2	5
000627034	20170204	212736	I	8	9998	000627034	Internet Explorer   	N	435	62	1	5
000356593	20170204	055818	I	3	9997	000356593	Internet Explorer   	N	1634	86	1	10
000770157	20170204	125058	I	7	9998	000770157	Internet Explorer   	N	562	40	1	5
000388290	20170204	105019	T	2	1022	000388290	Internet Explorer   	N	371	16	1	0
000463393	20170204	024344	U	2	1025	000463393	Internet Explorer   	N	458	17	1	0
000846519	20170204	185746	U	8	1025	000846519	Internet Explorer   	N	489	22	1	10
000364464	20170204	181318	S	1	1011	000364464	Internet Explorer   	N	1743	72	4	10
000218464	20170204	042915	I	6	9998	000218464	Netscape            	N	399	47	2	10
000251787	20170204	182304	I	6	9997	000251787	Internet Explorer   	N	428	39	1	10
000843358	20170204	142638	I	6	9999	000843358	Internet Explorer   	N	577	68	6	0
000412675	20170204	165546	I	5	9999	000412675	Netscape            	N	585	30	1	5
000293755	20170204	122616	S	1	1023	000293755	Internet Explorer   	N	353	57	1	0
000702005	20170204	192242	I	2	9995	000702005	Netscape            	N	390	18	1	5
000398204	20170204	223454	I	7	9999	000398204	Internet Explorer   	N	387	19	1	0
000848253	20170204	005200	I	8	9996	000848253	Internet Explorer   	N	1734	95	2	0
000785227	20170203	220000	I	10	9997	000785227	Other               	N	1261	88	1	5
