CustomerID	Date	Time	ChannelID	ProductID	DealerID	RecipientID	Explorer	Returned	Duration	Clicks	Pieces	Discount
000703996	20170205	233304	S	3	1012	000703996	Internet Explorer   	N	306	28	1	0
000632381	20170205	151132	I	9	9998	000632381	Other               	N	451	35	1	5
000746288	20170205	073743	I	6	9995	000746288	Internet Explorer   	N	429	31	4	0
000746288	20170209	084651	I	6	9995	000746288	Internet Explorer   	Y	429	31	4	0
000598076	20170205	145934	I	9	9995	000598076	Internet Explorer   	N	1779	87	8	10
000417339	20170204	201717	I	8	9996	000417339	Internet Explorer   	N	1784	92	1	5
000660453	20170205	101537	I	5	9996	000660453	Internet Explorer   	N	404	41	1	10
000345825	20170205	015609	I	10	9998	000345825	Internet Explorer   	N	1533	70	1	5
000769709	20170205	235114	I	7	9995	000769709	Internet Explorer   	N	548	54	2	10
000663319	20170205	072901	T	1	1000	000663319	Internet Explorer   	N	1297	59	1	10
000546380	20170205	123741	T	9	1017	000546380	Internet Explorer   	N	331	43	1	10
000262270	20170205	201849	I	8	9995	000262270	Internet Explorer   	N	426	57	2	10
000285515	20170205	234125	T	5	1028	000285515	Internet Explorer   	N	320	10	5	5
000084162	20170205	105649	I	2	9998	000084162	Other               	N	1418	92	1	5
000278609	20170205	132225	I	1	9999	000278609	Internet Explorer   	N	588	58	1	0
000605668	20170205	171233	I	9	9995	000605668	Internet Explorer   	N	535	66	2	5
000398782	20170205	045458	I	2	9999	000398782	Netscape            	N	442	61	9	5
000792127	20170205	005241	I	5	9995	000792127	Internet Explorer   	N	516	66	1	0
000486855	20170205	065736	I	9	9998	000486855	Internet Explorer   	N	501	29	4	10
000575914	20170205	010252	I	10	9997	000575914	Netscape            	N	593	65	2	5
000281708	20170205	163807	I	4	9995	000281708	Other               	N	1449	97	2	5
000836248	20170205	050757	I	10	9996	000836248	Internet Explorer   	N	346	47	1	5
000609379	20170205	182641	T	2	1028	000609379	Internet Explorer   	N	500	64	8	10
000601112	20170205	043506	T	9	1013	000601112	Internet Explorer   	N	408	14	1	0
000241539	20170205	131511	I	9	9995	000241539	Internet Explorer   	N	1710	62	1	5
000509108	20170205	023006	I	3	9997	000509108	Netscape            	N	1396	78	1	5
000219058	20170205	075339	I	10	9996	000219058	Internet Explorer   	N	408	56	1	0
000791855	20170205	055456	I	1	9995	000791855	Internet Explorer   	N	412	37	2	5
000840395	20170205	024254	I	10	9998	000840395	Internet Explorer   	N	303	40	2	5
000096775	20170205	012240	I	5	9997	000096775	Internet Explorer   	N	357	27	1	0
000746627	20170205	040828	I	6	9999	000746627	Internet Explorer   	N	494	43	1	5
000606164	20170205	093711	U	6	1007	000606164	Internet Explorer   	N	387	42	1	5
000245420	20170205	150410	I	1	9996	000245420	Internet Explorer   	N	315	26	1	0
000234929	20170205	114819	I	2	9997	000234929	Other               	N	367	29	1	0
000209595	20170205	080504	I	10	9998	000209595	Internet Explorer   	N	469	61	1	0
000004534	20170205	144503	I	3	9999	000004534	Internet Explorer   	N	477	50	1	0
000782799	20170205	112503	I	2	9995	000782799	Netscape            	N	509	55	11	5
000090878	20170205	045531	I	9	9996	000090878	Netscape            	N	1783	60	2	0
000224883	20170205	103908	I	4	9995	000224883	Internet Explorer   	N	1784	93	1	0
000735136	20170205	123649	I	2	9996	000735136	Internet Explorer   	N	439	36	1	10
000673951	20170205	073833	I	3	9998	000673951	Netscape            	N	478	46	1	10
000618197	20170205	143622	I	7	9999	000618197	Internet Explorer   	N	1441	90	1	0
000835679	20170205	085920	I	2	9999	000835679	Other               	N	1587	65	1	0
000845124	20170205	082644	I	3	9999	000845124	Internet Explorer   	N	319	43	2	5
000044717	20170205	054157	T	4	1014	000044717	Netscape            	N	1469	64	1	0
