GKZ	Gebiet	Wahlberechtigte	StimmenAbgegeben	StimmenGueltig	StimmenUngueltig	ÖVP	SPÖ	FPÖ	NEOS	JETZT	GRÜNE	KPÖ	WANDL	BZÖ	BIER	CPÖ	GILT	SLP
2B099	Wahlkarten - Villach	0	339	335	4	86	54	44	51	11	84	3	1	1	0	0	0	0
2C000	Kärnten West	100053	73406	72125	1281	27407	16817	16159	4758	926	5412	267	260	119	0	0	0	0
2C099	Wahlkarten - Kärnten West	0	321	317	4	88	51	32	46	19	76	3	2	0	0	0	0	0
2D000	Kärnten Ost	120644	86892	85279	1613	30898	23522	18266	4461	1142	6138	371	266	215	0	0	0	0
2D099	Wahlkarten - Kärnten Ost	0	282	281	1	85	48	34	36	9	66	1	2	0	0	0	0	0
20100	Klagenfurt Stadt	73873	51678	50977	701	16235	12556	8055	4568	1298	7474	367	276	148	0	0	0	0
20101	Klagenfurt am Wörthersee	73873	43331	42682	649	13677	10596	7166	3574	1120	5869	323	217	140	0	0	0	0
20199	Wahlkarten - Klagenfurt Stadt	0	8347	8295	52	2558	1960	889	994	178	1605	44	59	8	0	0	0	0
20200	Villach Stadt	44596	31257	30811	446	9450	8877	5494	2385	655	3492	214	193	51	0	0	0	0
20201	Villach	44596	27169	26746	423	8254	7819	5010	1944	584	2735	190	163	47	0	0	0	0
20299	Wahlkarten - Villach Stadt	0	4088	4065	23	1196	1058	484	441	71	757	24	30	4	0	0	0	0
20300	Hermagor	14669	11521	11296	225	4878	2853	1923	670	119	765	35	37	16	0	0	0	0
20302	Dellach	1027	663	644	19	329	141	111	27	2	31	2	0	1	0	0	0	0
20305	Hermagor-Pressegger See	5457	3452	3392	60	1290	989	612	209	39	220	14	10	9	0	0	0	0
20306	Kirchbach	2109	1401	1378	23	640	272	283	76	16	81	6	4	0	0	0	0	0
20307	Kötschach-Mauthen	2718	1666	1609	57	792	375	234	84	18	90	8	6	2	0	0	0	0
20316	St. Stefan im Gailtal	1304	868	843	25	370	257	133	24	8	43	2	5	1	0	0	0	0
20320	Gitschtal	974	660	650	10	234	165	170	26	8	42	0	4	1	0	0	0	0
20321	Lesachtal	1080	737	723	14	474	113	62	30	6	37	1	0	0	0	0	0	0
20399	Wahlkarten - Hermagor	0	2074	2057	17	749	541	318	194	22	221	2	8	2	0	0	0	0
20400	Klagenfurt-Land	47226	35112	34535	577	12393	8976	5979	2483	568	3653	177	140	166	0	0	0	0
20402	Ebenthal in Kärnten	6359	4020	3963	57	1276	1219	858	229	71	256	24	5	25	0	0	0	0
20403	Feistritz im Rosental	1949	1143	1119	24	347	393	182	46	15	120	9	3	4	0	0	0	0
20405	Ferlach	5473	3363	3284	79	1000	1112	647	185	54	255	19	8	4	0	0	0	0
20409	Grafenstein	2327	1450	1407	43	621	277	271	81	14	82	5	8	48	0	0	0	0
20412	Keutschach am See	1967	1123	1109	14	423	279	150	87	25	131	1	9	4	0	0	0	0
20414	Köttmannsdorf	2380	1556	1527	29	549	381	280	104	22	168	3	12	8	0	0	0	0
20415	Krumpendorf am Wörthersee	2625	1542	1527	15	564	296	216	187	24	224	8	4	4	0	0	0	0
20416	Ludmannsdorf	1444	915	906	9	331	262	119	40	19	132	2	0	1	0	0	0	0
20417	Maria Rain	1986	1254	1231	23	460	257	246	102	22	131	3	3	7	0	0	0	0
20418	Maria Saal	3130	1959	1925	34	731	462	315	133	35	224	12	11	2	0	0	0	0
20419	Maria Wörth	1283	687	683	4	271	114	95	80	11	100	8	2	2	0	0	0	0
20421	Moosburg	3612	2026	1995	31	739	422	432	156	38	179	11	10	8	0	0	0	0
20424	Pörtschach am Wörther See	2236	1269	1253	16	559	196	186	106	21	173	7	4	1	0	0	0	0
20425	Poggersdorf	2558	1793	1756	37	700	418	346	109	32	124	11	5	11	0	0	0	0
20428	St. Margareten im Rosental	879	538	524	14	187	187	76	31	9	27	3	2	2	0	0	0	0
20432	Schiefling am Wörthersee	1962	1258	1237	21	494	291	235	71	22	111	3	7	3	0	0	0	0
20435	Techelsberg am Wörther See	1780	1000	973	27	357	253	193	64	13	85	2	2	4	0	0	0	0
20441	Zell	502	324	315	9	85	126	12	15	8	63	1	2	3	0	0	0	0
20442	Magdalensberg	2774	1746	1712	34	641	449	307	114	29	142	15	4	11	0	0	0	0
20499	Wahlkarten - Klagenfurt-Land	0	6146	6089	57	2058	1582	813	543	84	926	30	39	14	0	0	0	0
20500	Sankt Veit an der Glan	44371	31680	31124	556	11008	8211	7333	1741	418	2103	135	104	71	0	0	0	0
20501	Althofen	3795	2212	2176	36	735	633	465	147	41	131	15	3	6	0	0	0	0
20502	Brückl	2250	1407	1369	38	506	413	293	76	13	56	7	3	2	0	0	0	0
20503	Deutsch-Griffen	750	411	405	6	133	63	198	5	0	6	0	0	0	0	0	0	0
20504	Eberstein	1020	607	593	14	239	121	168	21	3	31	5	3	2	0	0	0	0
20505	Friesach	4235	2389	2359	30	889	566	612	118	27	112	16	10	9	0	0	0	0
20506	Glödnitz	667	396	389	7	163	77	116	14	2	12	2	1	2	0	0	0	0
20508	Gurk	1015	730	713	17	279	148	221	21	8	32	3	1	0	0	0	0	0
20509	Guttaring	1201	748	729	19	281	200	143	62	1	33	2	3	4	0	0	0	0
20511	Hüttenberg	1182	711	704	7	176	238	241	12	6	25	4	1	1	0	0	0	0
20512	Kappel am Krappfeld	1582	1062	1041	21	431	242	229	55	6	64	6	4	4	0	0	0	0
20513	Klein St. Paul	1458	938	918	20	347	218	250	41	10	44	1	5	2	0	0	0	0
20515	Liebenfels	2661	1671	1642	29	531	550	339	82	25	104	6	4	1	0	0	0	0
20518	Metnitz	1663	1136	1108	28	478	202	301	58	18	42	4	2	3	0	0	0	0
20519	Micheldorf	846	444	429	15	122	155	100	15	9	22	1	2	3	0	0	0	0
20520	Mölbling	1063	669	656	13	232	127	227	24	3	40	1	2	0	0	0	0	0
20523	St. Georgen am Längsee	2926	1834	1807	27	598	488	419	119	25	139	12	4	3	0	0	0	0
20527	St. Veit an der Glan	9764	5364	5264	100	1679	1670	1020	315	95	427	19	23	16	0	0	0	0
20530	Straßburg	1678	1089	1060	29	442	172	329	49	13	44	5	4	2	0	0	0	0
20531	Weitensfeld im Gurktal	1724	1092	1077	15	447	211	333	45	8	24	5	2	2	0	0	0	0
20534	Frauenstein	2891	1906	1878	28	671	418	431	137	29	180	5	4	3	0	0	0	0
20599	Wahlkarten - St. Veit an der Glan	0	4864	4807	57	1629	1299	898	325	76	535	16	23	6	0	0	0	0
20600	Spittal an der Drau	61469	44690	43953	737	16546	10013	10148	2968	551	3365	149	141	72	0	0	0	0
20601	Bad Kleinkirchheim	1295	636	632	4	251	109	181	44	5	35	1	2	4	0	0	0	0
20602	Baldramsdorf	1553	915	895	20	274	254	258	41	13	51	1	0	3	0	0	0	0
20603	Berg im Drautal	1050	672	658	14	339	139	71	39	1	66	2	0	1	0	0	0	0
20604	Dellach im Drautal	1321	780	763	17	347	181	117	44	5	60	1	5	3	0	0	0	0
20605	Großkirchheim	1074	713	709	4	333	54	212	61	10	32	2	3	2	0	0	0	0
20607	Flattach	963	577	569	8	247	119	151	24	4	22	0	2	0	0	0	0	0
20608	Gmünd in Kärnten	2139	1353	1316	37	460	316	326	89	12	103	3	5	2	0	0	0	0
20609	Greifenburg	1377	859	843	16	315	172	217	63	8	60	3	2	3	0	0	0	0
20610	Heiligenblut am Großglockner	826	494	479	15	259	49	99	44	4	17	4	2	1	0	0	0	0
20611	Irschen	1620	1089	1068	21	453	264	212	56	7	70	1	3	2	0	0	0	0
