ID	DATUM	TAG	STUNDE	STATION	KARTENART
1000	2019-08-22T23:19:51	4	23	1002	1000
1003	2019-09-19T18:30:56	4	18	1000	1000
1006	2019-07-31T08:20:56	3	8	1001	1000
1009	2019-09-27T06:50:29	5	6	1000	1000
1012	2019-07-12T05:17:16	5	5	1001	1000
1015	2019-12-09T09:42:48	1	9	1000	1000
1018	2019-08-05T01:24:17	1	1	1003	1000
1021	2019-01-26T15:50:27	6	15	1000	1000
1024	2019-08-03T09:47:45	6	9	1001	1000
1027	2019-03-23T09:48:12	6	9	1003	1001
1030	2019-04-15T07:06:53	1	7	1002	1002
1033	2019-10-28T11:25:32	1	11	1002	1000
1036	2019-11-18T14:56:05	1	14	1002	1000
1039	2019-04-29T08:43:25	1	8	1001	1000
1042	2019-09-24T17:44:33	2	17	1001	1000
1045	2019-01-03T06:22:40	4	6	1001	1000
1048	2019-12-23T09:31:50	1	9	1002	1000
1051	2019-02-20T19:56:49	3	19	1002	1000
1054	2019-07-12T06:56:00	5	6	1000	1000
1057	2019-01-14T08:14:44	1	8	1001	1000
1060	2019-06-25T15:28:06	2	15	1000	1000
1063	2019-07-16T07:33:56	2	7	1000	1001
1066	2019-05-20T05:14:21	1	5	1001	1000
1069	2019-08-09T10:00:52	5	10	1003	1002
1072	2019-10-31T10:13:05	4	10	1000	1001
1075	2019-02-21T06:25:43	4	6	1001	1001
1078	2019-04-06T18:51:38	6	18	1002	1001
1081	2019-08-30T05:50:27	5	5	1000	1000
1084	2019-07-16T06:06:53	2	6	1000	1002
1087	2019-09-24T14:44:10	2	14	1000	1002
1090	2019-09-17T09:15:09	2	9	1000	1000
1093	2019-05-16T14:34:30	4	14	1000	1001
1096	2019-06-17T16:56:32	1	16	1000	1000
1099	2019-08-28T15:36:07	3	15	1000	1000
1102	2019-11-25T18:37:52	1	18	1000	1002
1105	2019-03-07T12:12:21	4	12	1000	1000
1108	2019-09-14T10:37:49	6	10	1002	1001
1111	2019-12-26T06:35:06	4	6	1000	1000
1114	2019-08-16T02:17:22	5	2	1003	1001
1117	2019-03-07T09:19:37	4	9	1000	1001
1120	2019-06-26T12:54:01	3	12	1001	1001
1123	2019-11-11T07:35:21	1	7	1001	1001
1126	2019-08-16T07:02:18	5	7	1000	1003
1129	2019-10-18T08:36:19	5	8	1003	1000
1132	2019-09-09T10:09:40	1	10	1000	1000
1135	2019-11-11T07:37:20	1	7	1000	1000
1138	2019-08-23T12:39:21	5	12	1001	1000
1141	2019-04-14T09:26:54	7	9	1000	1001
1144	2019-12-11T09:04:01	3	9	1000	1000
1147	2019-01-16T08:49:21	3	8	1000	1002
1150	2019-01-18T01:44:51	5	1	1000	1000
1153	2019-11-22T07:53:36	5	7	1001	1000
1156	2019-06-11T10:33:37	2	10	1000	1000
1159	2019-12-30T14:21:46	1	14	1000	1003
1162	2019-04-27T09:26:10	6	9	1001	1000
1165	2019-03-25T10:24:52	1	10	1000	1003
1168	2019-05-24T05:28:10	5	5	1003	1000
1171	2019-06-28T06:35:13	5	6	1001	1002
1174	2019-01-29T09:02:56	2	9	1000	1000
1177	2019-06-13T07:19:03	4	7	1000	1003
1180	2019-11-22T07:45:22	5	7	1000	1003
1183	2019-10-24T07:06:40	4	7	1001	1002
1186	2019-07-01T09:04:46	1	9	1000	1000
1189	2019-04-08T19:41:31	1	19	1000	1000
1192	2019-03-15T17:27:55	5	17	1002	1000
1195	2019-10-21T07:24:45	1	7	1003	1000
1198	2019-02-01T09:05:31	5	9	1002	1000
1201	2019-08-01T18:59:28	4	18	1002	1001
1204	2019-10-18T06:15:51	5	6	1003	1001
1207	2019-05-13T18:37:43	1	18	1000	1001
1210	2019-11-12T05:59:40	2	5	1001	1002
1213	2019-09-16T02:20:54	1	2	1002	1000
1216	2019-01-23T07:34:23	3	7	1000	1000
1219	2019-06-19T08:03:18	3	8	1000	1000
1222	2019-12-17T03:20:38	2	3	1000	1000
1225	2019-10-22T12:07:10	2	12	1003	1000
1228	2019-07-12T07:59:50	5	7	1000	1000
1231	2019-07-23T12:41:53	2	12	1003	1000
